Problema,Resuelto,Tiempo Promedio (segundos)
translated_imo_2000_p1,True,79.04
translated_imo_2000_p6,False,119.84
translated_imo_2002_p2a,True,93.61
translated_imo_2002_p2b,True,74.17
translated_imo_2003_p4,True,87.66
translated_imo_2004_p1,True,70.77
translated_imo_2004_p5,False,119.86
translated_imo_2005_p5,False,119.50
translated_imo_2007_p4,True,101.36
translated_imo_2008_p1a,True,80.14
translated_imo_2008_p1b,True,97.39
translated_imo_2008_p6,False,119.84
translated_imo_2009_p2,True,82.76
translated_imo_2010_p2,True,78.80
translated_imo_2010_p4,True,78.54
translated_imo_2011_p6,False,119.61
translated_imo_2012_p1,True,85.88
translated_imo_2012_p5,False,119.63
translated_imo_2013_p4,True,69.29
translated_imo_2014_p4,True,84.92
translated_imo_2015_p3,True,95.51
translated_imo_2015_p4,True,100.47
translated_imo_2016_p1,True,70.40
translated_imo_2017_p4,True,92.60
translated_imo_2018_p1,True,67.89
translated_imo_2019_p2,True,78.05
translated_imo_2019_p6,False,119.83
translated_imo_2020_p1,True,104.54
translated_imo_2021_p3,True,76.36
translated_imo_2022_p4,True,84.79